date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:41:36	5254/5254	------	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://aksh-ai.com/robots.txt		(from )
18:41:36	70550/70550	------	200	untouched ('OK')	text/html	etag:W/%2266fcf2ac-11396%22	https://aksh-ai.com/	C:/Users/morit/OneDrive%20-%20Eviden/Portfolio/Test/aksh-ai.com/index.html	(from )
18:41:36	2125/2125	---M--	200	added ('OK')	image/png	etag:%2266fcf2ab-84d%22	https://aksh-ai.com/assets/img/favicon.png	C:/Users/morit/OneDrive%20-%20Eviden/Portfolio/Test/aksh-ai.com/assets/img/favicon.png	(from https://aksh-ai.com/)
18:41:36	58297/58297	---MCZ	200	added ('OK')	text/css	etag:W/%22accdbde3b79ab05345137cafe7201b9d%22	https://unicons.iconscout.com/release/v3.0.6/css/line.css	C:/Users/morit/OneDrive%20-%20Eviden/Portfolio/Test/unicons.iconscout.com/release/v3.0.6/css/line.css	(from https://aksh-ai.com/)
18:41:36	13872/13872	------	200	untouched ('OK')	text/css	etag:W/%2266fcf2ac-3630%22	https://aksh-ai.com/assets/css/swiper-bundle.min.css	C:/Users/morit/OneDrive%20-%20Eviden/Portfolio/Test/aksh-ai.com/assets/css/swiper-bundle.min.css	(from https://aksh-ai.com/)
18:41:37	23331/23331	---M-Z	200	added ('OK')	text/css	etag:W/%2266fcf2ab-5b23%22	https://aksh-ai.com/assets/css/styles.css	C:/Users/morit/OneDrive%20-%20Eviden/Portfolio/Test/aksh-ai.com/assets/css/styles.css	(from https://aksh-ai.com/)
18:41:37	1359065/1359065	------	200	untouched ('')	image/png	etag:%2266fcf2ab-14bcd9%22	https://aksh-ai.com/assets/img/A_final.png	C:/Users/morit/OneDrive%20-%20Eviden/Portfolio/Test/aksh-ai.com/assets/img/A_final.png	(from https://aksh-ai.com/)
18:41:37	1732457/1732457	---M--	200	added ('OK')	image/jpeg	etag:%2266fcf2ac-1a6f69%22	https://aksh-ai.com/assets/img/cool_shay.jpeg	C:/Users/morit/OneDrive%20-%20Eviden/Portfolio/Test/aksh-ai.com/assets/img/cool_shay.jpg	(from https://aksh-ai.com/)
18:41:37	450940/450940	---M--	200	added ('OK')	image/jpeg	etag:%2266fcf2ac-6e17c%22	https://aksh-ai.com/assets/img/drive-ai.jpg	C:/Users/morit/OneDrive%20-%20Eviden/Portfolio/Test/aksh-ai.com/assets/img/drive-ai.jpg	(from https://aksh-ai.com/)
18:41:37	39022/39022	---M--	200	added ('OK')	image/png	etag:%2266fcf2ab-986e%22	https://aksh-ai.com/assets/img/gan.png	C:/Users/morit/OneDrive%20-%20Eviden/Portfolio/Test/aksh-ai.com/assets/img/gan.png	(from https://aksh-ai.com/)
